route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
399,20200104070226,20200104070249,24,효목네거리1,128.64486,35.87624
990,20200104070226,20200104070240,15,대종리(용성방향),128.90481,35.76512
399,20200104070232,20200104070557,212,자인정류장,128.82571,35.81691
399,20200104070235,20200104070314,40,동부우체국(대구방향),128.75406,35.81705
399,20200104070237,20200104070246,9,수성도서관건너,128.63866,35.87311
399,20200104070238,20200104070245,7,송내지못밑(남산방향),128.82559,35.77975
991,20200104070239,20200104070258,19,영남대 건너,128.75446,35.83741
399,20200104070253,20200104070301,9,송내리1(남산방향),128.8271,35.78107
399,20200104070307,20200104070319,12,송내리(솔안),128.82798,35.78222
399,20200104070310,20200104070335,26,수성시니어클럽앞,128.64704,35.87329
399,20200104070315,20200104070323,9,효신초등학교 앞,128.63439,35.87184
990,20200104070319,20200104070347,29,가척리(용성방향),128.90408,35.76898
399,20200104070324,20200104070342,19,계양시장 건너,128.75272,35.81783
399,20200104070333,20200104070342,9,코오롱아파트,128.63283,35.87033
압량1,20200104070342,20200104070354,12,서부2동행정복지센터 건너(옥산2지구),128.72468,35.82802
399,20200104070346,20200104070355,9,우방만촌하이츠건너,128.63191,35.86924
991,20200104070349,20200104070356,8,북부동행정복지센터 건너,128.74715,35.83421
399,20200104070359,20200104070412,13,송내리2(남산방향),128.83136,35.7862
399,20200104070409,20200104070434,26,계양시장,128.75121,35.818
남산2,20200104070413,20200104070431,19,하양역 건너(산업도로),128.81716,35.91036
991,20200104070423,20200104070445,23,대구은행역(1번출구),128.61342,35.85986
399,20200104070424,20200104070443,20,시민회관 건너,128.74896,35.81909
991,20200104070425,20200104070431,6,임당역1번출구,128.74094,35.83421
399,20200104070427,20200104070440,13,삼육중고 건너,128.83213,35.78844
압량1,20200104070429,20200104070444,16,옥산네거리(경산방향),128.72666,35.82405
990,20200104070443,20200104070453,11,비오재(용성방향),128.89774,35.76995
991,20200104070445,20200104070452,8,중방e편한세상 건너,128.73788,35.83419
399,20200104070451,20200104070505,15,영남일보건너,128.62689,35.86855
399,20200104070455,20200104070510,15,동부우체국(사동방향),128.75244,35.81748
399,20200104070458,20200104070509,11,대구농업마이스터고건너,128.70338,35.84145
399,20200104070459,20200104070508,10,동부파출소,128.74825,35.8208
991,20200104070501,20200104070518,18,수성교2,128.61104,35.86034
압량1,20200104070503,20200104070517,14,서부1동행정복지센터,128.72804,35.82152
남산2,20200104070504,20200104070950,296,대구가톨릭대학교 건너,128.81342,35.90785
399,20200104070521,20200104070913,240,상공회의소건너,128.62616,35.87086
399,20200104070525,20200104070553,29,고산역화성파크드림 건너,128.70054,35.84208
399,20200104070532,20200104070556,25,무열대건너,128.64901,35.86875
399,20200104070542,20200104070626,45,남산복지회관 건너,128.83511,35.79316
399,20200104070544,20200104070556,13,사동우방A후문,128.75587,35.81618
399,20200104070555,20200104070611,17,경산중고등학교 앞,128.74887,35.82279
991,20200104070558,20200104070606,8,방천시장(김광석길)건너,128.60646,35.86252
991,20200104070601,20200104070610,10,롯데시네마,128.73418,35.83421
압량1,20200104070604,20200104070619,16,중앙초교 건너,128.73227,35.82161
압량1,20200104070607,20200104070836,155,경남신성A 건너,128.7238,35.83176
991,20200104070611,20200104070614,3,영대교(대구방향),128.73294,35.83423
399,20200104070627,20200104070632,6,만촌태왕리더스앞1,128.64925,35.86399
991,20200104070628,20200104070637,10,정평역4번출구,128.73069,35.83421
399,20200104070635,20200104070641,6,만촌태왕리더스앞2,128.64868,35.86285
압량1,20200104070641,20200104070713,33,경산시장,128.73473,35.8228
399,20200104070651,20200104070702,11,경산보건소,128.74414,35.82372
399,20200104070713,20200104070723,11,옥천교(원당방향),128.83643,35.79791
399,20200104070713,20200104070729,16,동부리(원당방향),128.82782,35.80926
399,20200104070716,20200104070726,10,고산2동행정복지센터앞,128.69537,35.84311
399,20200104070721,20200104070728,8,구.남부정류장건너1,128.64686,35.85841
399,20200104070727,20200104070740,14,사동중,128.75773,35.81553
990,20200104070729,20200104070737,8,부제2리(용성방향),128.88761,35.77861
399,20200104070730,20200104070744,14,구.남부정류장건너2,128.64792,35.8578
399,20200104070742,20200104070753,11,옥연마을입구 건너,128.82921,35.80778
991,20200104070742,20200104070750,8,경북대학교치과병원,128.60216,35.86341
399,20200104070750,20200104070813,23,수성대학교앞,128.6494,35.857
399,20200104070755,20200104070802,7,고산농협창고건너,128.69024,35.84285
399,20200104070759,20200104070806,7,원당입구(원당방향),128.83367,35.8021
990,20200104070805,20200104070816,12,부제리회관,128.88582,35.78228
399,20200104070807,20200104070811,4,원당(자인방향),128.83302,35.80298
399,20200104070816,20200104070821,6,월드컵삼거리앞,128.68683,35.84184
399,20200104070829,20200104070900,40,사월역(2번출구),128.71452,35.83698
399,20200104070837,20200104070904,28,도시철도담티역(3번출구),128.65324,35.85496
991,20200104070838,20200104070914,38,정평역1번출구(현대타운),128.72768,35.83432
991,20200104070841,20200104071031,114,2호선반월당역1,128.59638,35.86513
399,20200104070847,20200104070943,58,대공원역(1번출구),128.6812,35.84253
399,20200104070850,20200104070911,22,옥연마을입구,128.83053,35.80665
399,20200104070901,20200104070910,9,원당입구(남산방향),128.83251,35.80349
압량1,20200104070903,20200104070914,11,서부2동행정복지센터 건너(옥산2지구),128.7246,35.82797
399,20200104070906,20200104070917,11,경산시청별관(경산농협),128.74035,35.82396
990,20200104070911,20200104070919,8,부제리(용성방향),128.88248,35.78878
압량1,20200104070917,20200104070928,11,경산시청별관 건너,128.74025,35.82394
399,20200104070920,20200104070934,14,사동부영1차A 건너,128.76106,35.81247
399,20200104070925,20200104070931,6,대륜중고등학교앞,128.65673,35.85358
399,20200104070936,20200104070950,14,동부2리(자인장례식장),128.82821,35.80862
991,20200104070938,20200104070956,18,중산삼거리(대구방향),128.7246,35.83502
